Date,Ticker,Close,High,Low,Open,Volume,Prev_close,Daily_return,MA_20,MA_50,HL_pct,Volatility_20d,MA_Signal,Return_DecimalW,Rolling_Mean_20W,Rolling_Std_20W,Sharpe_20D,Avg_volm20W,Volm_ratio,Volm_spiked
2018-03-14,HCLTECH.NS,382.25115966796875,383.4790676607312,380.25088640276095,381.0430757494334,2354082,379.0625305175781,0.8411881665108971,373.37066955566405,374.34013427734374,0.8516223572829553,1.4532119859672294,False,0.008411881665108971,0.0014605488804462687,0.01453211985967229,1.2920282350238088,3823100.8,0.6157520094683353,False
2018-03-15,HCLTECH.NS,379.9141845703125,385.2416381509919,378.36940580019467,383.4196124727437,2590154,382.25115966796875,-0.611371617469047,373.7935028076172,374.9912426757812,1.7978316551783862,1.4618564463959638,False,-0.00611371617469047,0.0012267285552778483,0.014618564463959633,1.030479197829465,3808131.9,0.6801639407500565,False
2018-03-16,HCLTECH.NS,383.2611083984375,387.9944434949667,375.1213695623155,380.25079924138777,9482072,379.9141845703125,0.8809683776114889,374.34604797363284,375.5978100585937,3.388416241212671,1.4716455684659506,False,0.00880968377611489,0.00156589758591627,0.0147164556846595,1.3894832060996505,4168143.4,2.2748910222234677,True
2018-03-19,HCLTECH.NS,366.9816589355469,381.6767594072097,364.80313856410004,381.32028876093636,3318748,383.2611083984375,-4.247613208373478,374.13611602783203,375.84321228027346,4.40264364772642,1.7706663758683283,False,-0.042476132083734776,-0.0004195588048008611,0.01770666375868328,-0.6251812999066967,4049173.8,0.8196111512921476,False
2018-03-20,HCLTECH.NS,371.2198791503906,375.39867251630324,362.6642209347619,366.3875199974471,3707786,366.9816589355469,1.154886112602186,374.5916229248047,376.2065838623047,3.470051233208335,1.6949842531053314,False,0.01154886112602186,0.0013797374442917813,0.016949842531053312,1.0320489622525875,4088285.8,0.9069292562667708,False
2018-03-21,HCLTECH.NS,371.27923583984375,376.2502420381917,366.96181952853175,374.309368973238,3818980,371.2198791503906,0.015989631155792196,375.1837783813477,376.5161962890625,2.5021349963580377,1.6828071417233448,False,0.00015989631155792196,0.001756904115480665,0.016828071417233446,1.3953115660775872,4156094.7,0.9188866654073113,False
2018-03-22,HCLTECH.NS,368.58587646484375,375.8542278912828,366.3875559641984,372.7250704457413,3095286,371.27923583984375,-0.7254268795580631,374.93919525146487,376.76838134765626,2.549744508515413,1.4441388651083709,False,-0.00725426879558063,-0.0005590648974205673,0.014441388651083707,-0.9198883813273758,4032383.4,0.7676070683159741,False
2018-03-23,HCLTECH.NS,379.220947265625,380.46863064346064,357.8912403750934,358.4655823310941,5478072,368.58587646484375,2.8853712200759376,375.26399383544924,377.28584533691406,6.125408408186991,1.5857703021207363,False,0.028853712200759375,0.0009843715473866863,0.01585770302120736,0.707342566511441,3896958.3,1.4057302075826679,True
2018-03-26,HCLTECH.NS,383.04327392578125,384.60785241389135,374.3093929259808,379.1417518285241,3571336,379.220947265625,1.007941857568038,375.49075775146486,377.70581909179685,2.7156884560749304,1.564062918491564,False,0.010079418575680378,0.0007125667167867077,0.015640629184915635,0.44129045902911235,3791766.8,0.9418659396458664,False
2018-03-27,HCLTECH.NS,385.0238037109375,387.7370665971405,378.07234736611366,386.1922877757578,2495200,383.04327392578125,0.517051184545796,376.0056854248047,378.15710205078125,2.5231403052646906,1.5460824477904582,False,0.00517051184545796,0.0014707839146856866,0.015460824477904577,1.2249272561148663,3810921.2,0.6547498279418634,False
2018-03-28,HCLTECH.NS,383.6572265625,388.8064564520582,378.290149474292,380.8647644190711,4620172,385.0238037109375,-0.35493315874658976,376.37603149414065,378.5098974609375,2.731339433148795,1.5487259490540772,False,-0.0035493315874658977,0.0010898275877377322,0.015487259490540766,0.8323545624053915,3897958.4,1.185279966045815,False
2018-04-02,HCLTECH.NS,387.9747009277344,390.1136216597899,382.1521048688707,382.7462468304752,1295646,383.6572265625,1.1253468112455933,377.1523773193359,379.08067932128904,2.0751640369850297,1.5410833171552345,False,0.011253468112455933,0.0021578189558505018,0.015410833171552339,1.9366070697293578,3706763.3,0.34953567172740707,False
2018-04-03,HCLTECH.NS,383.9146728515625,391.7375408307406,381.4588816128335,385.20198024054116,2036000,387.9747009277344,-1.0464672223378066,377.67620849609375,379.25401306152344,2.649311718864275,1.5665662790580526,False,-0.010464672223378067,0.0015016452475737512,0.01566566279058052,1.2401833255579766,3669951.8,0.5547756785252602,False
2018-04-04,HCLTECH.NS,379.95367431640625,388.6677538941607,376.091752685356,388.5687302625953,1804780,383.9146728515625,-1.0317392939778933,378.2139007568359,379.3196673583984,3.2757282016327274,1.5622755386583191,False,-0.010317392939778933,0.0015532352130428798,0.015622755386583184,1.296010760479978,3572805.6,0.5051436327797963,False
2018-04-05,HCLTECH.NS,381.0628967285156,389.8364038985468,378.8843759046498,384.21185439088015,2805104,379.95367431640625,0.2919362246213391,378.79319458007814,379.39643432617186,2.882464030279832,1.5624418269793416,False,0.0029193622462133913,0.0016616638764887014,0.015624418269793409,1.406037036440743,3566573.0,0.7864984117807206,False
2018-04-06,HCLTECH.NS,377.33953857421875,385.00395958077985,376.5275252859862,385.00395958077985,2515810,381.0628967285156,-0.9770980555342661,378.8545913696289,379.36671569824216,2.224418689818704,1.5329817775519616,False,-0.009770980555342661,0.0002752805916957083,0.01532981777551961,-0.002585914632785102,3407602.5,0.7382932721759654,False
2018-04-09,HCLTECH.NS,377.5772399902344,381.3005395172237,375.49774299579565,377.9931345539822,1708072,377.33953857421875,0.0629940389797958,378.9060913085938,379.27810546875,1.5378183116865942,1.53286712885634,False,0.0006299403897979581,0.0002488641588338738,0.015328671288563394,-0.029943200081091456,3281088.6,0.5205808828204151,False
2018-04-10,HCLTECH.NS,375.676025390625,381.02330387393886,373.73515167825246,377.51785125167856,2431772,377.5772399902344,-0.5035299796297436,379.01403045654297,378.9221905517578,1.9302413979918105,1.5257519395918515,True,-0.005035299796297435,0.00039943896170380666,0.01525751939591851,0.1265809579625641,3329440.8,0.7303845138198584,False
2018-04-11,HCLTECH.NS,383.1423034667969,387.2616969955888,376.82458973326436,378.27034470004025,3716964,375.676025390625,1.987424688176068,379.007096862793,378.53296813964846,2.7782202102122495,1.4757292276219103,True,0.01987424688176068,8.61523508582993e-05,0.014757292276219096,-0.20613262176389588,3267977.2,1.137389820222736,False
2018-04-12,HCLTECH.NS,400.07537841796875,401.24386241809685,383.14233289144,383.39980407264875,8182766,383.1423034667969,4.419526321671054,380.0577392578125,378.55277282714843,4.7244925352455995,1.7483813179898045,True,0.04419526321671054,0.0028462226095685495,0.017483813179898038,2.332031191772481,3551440.1,2.304069833530347,True
2018-04-13,HCLTECH.NS,392.62872314453125,404.01644147028685,391.44043949314806,401.837921442751,6361110,400.07537841796875,-1.8613130612746165,380.5766174316406,378.38799743652345,3.143408131454749,1.8065670349630123,True,-0.018613130612746165,0.0014949719956757926,0.01806567034963012,1.069562258858503,3751791.5,1.6954860098169102,True
